"This is the Emotes we have added to the VADER lexicon Library, they are the 30 Most common Emotes",,,,,,,
Emote Code,Meaning - Meme,SE,SM,SEN,Sentiment Feeling,Value (-4 to 4),Source
PogU,Showing positive wide-mouth surprise,,,X,Positive,4,Twitch
Clap,showing admiration,X,,X,Positive,3,Thirdparty
FeelsGoodMan,showing satisfaction,X,,X,Positive,3,Thirdparty
Kreygasm,sign of join and satisfaction,X,,X,Positive,3,Thirdparty
pogchamp,excitement,,,,Positive,3,Twitch
poggers,express excitement or celebration in a similar manner to the PogChamp,,,,Positive,3,Thirdparty
seemsgood,showing positivity,,,,Positive,3,Thirdparty
OMEGALUL,rolling on the floor laughing (lmao!),X,X,,Positive,2,Thirdparty
LULW,LOL,X,X,,Positive,2,Thirdparty
EZ,something too easy,X,,X,Positive,2,Thirdparty
LUL,Its funny,X,,X,Positive,2,Twitch
heyguys,showing positive greeting,,,,Positive,2,Twitch
Pog,expressing satisfaction,,,,Positive,2,Thirdparty
BOOBA,"indicates when someone is ""hot/sexy"" usually towards women",X,,X,Positve*,1,Thirdparty
WAYTOODANK (gif),situation is too over the top (crazy),,,X,neutral,0,Thirdparty
Kappa,convey sarcasm/irony,X,X,X,neutral,0,Twitch
TRUEING (gif),showing agreement,X,X,,neutral,0,Thirdparty
Smorc,Face of an ogre,,,,neutral,0,Twitch
batchest,sarcasm,,,,neutral,0,Twitch
monkaS,showing anxiety or sweating,X,,X,Negative,-2,Thirdparty
Pepehands,expressing deep sadness,,,,Negative,-2,Thirdparty
rip,expressing something is over,,,,Negative,-2,Thirdparty
notlikethis,expressing disapoitnment ,,,,Negative,-2,Twitch
monkaW,very intense situation,,X,X,Negative,-3,Thirdparty
Pepega,when streamer does something stupid,X,,X,Negative,-3,Thirdparty
WutFace,expressing shock/belief,X,,X,Negative,-3,Thirdparty
feelsbadman,sadness,,,,Negative,-3,Thirdparty
Sadge,showing sadness/dissapointment,X,,X,Negative,-4,Thirdparty
peepoSad,sadness,X,,X,Negative,-4,Thirdparty
DansGame,expressing dissatisfaction,,,,Negative,-4,Twitch